price,host_response_rate,host_listings_count,neighbourhood,property_type,room_type,bathrooms,accommodates,guests_included,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,availability_30
568,100%,4,Copacabana,Apartment,Entire home/apt,2.5,6,6,5,51,0.79,92,26
150,100%,2,Ipanema,Apartment,Entire home/apt,1,3,3,2,85,1.37,96,0
239,90%,55,Copacabana,Apartment,Private room,1,1,1,3,14,0.22,93,30
290,N/A,1,Copacabana,Apartment,Entire home/apt,2,4,4,5,6,0.12,93,8
249,100%,3,Ipanema,Apartment,Entire home/apt,1,4,2,4,18,0.8,95,9
348,100%,2,Copacabana,Apartment,Entire home/apt,1.5,6,6,2,110,1.55,93,24
181,100%,5,Ipanema,Apartment,Entire home/apt,1,4,2,5,99,1.42,92,30
301,100%,1,Barra da Tijuca,Apartment,Entire home/apt,2,3,3,3,19,0.27,99,0
529,100%,2,Copacabana,Apartment,Entire home/apt,2,4,1,1,71,1.11,98,28
208,100%,1,Barra da Tijuca,Apartment,Entire home/apt,2,4,2,2,12,0.18,93,21
544,0%,4,Copacabana,Apartment,Entire home/apt,3,5,4,7,10,0.14,100,30
273,100%,6,Ipanema,Apartment,Entire home/apt,1,5,1,4,159,2.35,94,13
201,100%,4,Copacabana,Apartment,Entire home/apt,1,4,4,3,12,0.19,85,0
126,100%,4,Barra da Tijuca,Apartment,Entire home/apt,2,4,1,2,9,0.15,93,0
150,100%,2,Copacabana,Apartment,Private room,1,2,1,1,48,0.75,96,30
348,85%,50,Ipanema,Apartment,Entire home/apt,2.5,4,1,3,14,0.2,92,29
205,67%,5,Ipanema,Apartment,Entire home/apt,1,2,1,5,22,0.32,85,30
126,100%,4,Barra da Tijuca,Apartment,Entire home/apt,1,4,1,2,7,0.1,88,2
301,100%,1,Ipanema,Apartment,Private room,1,2,1,1,17,0.25,94,30
454,100%,1,Barra da Tijuca,Apartment,Entire home/apt,2,7,4,1,86,1.26,96,18
601,100%,3,Ipanema,Apartment,Entire home/apt,3,11,1,3,23,0.38,86,29
212,100%,6,Ipanema,Apartment,Entire home/apt,3,10,2,2,131,1.85,87,20
273,100%,4,Copacabana,Apartment,Private room,1,2,1,1,35,0.51,93,30
